product_id,pack_multiple,warehouse_count,total_beginning_inventory,total_capacity,early_donor_surplus_no_plt,early_receiver_shortage_no_plt,recommended_source_warehouse,recommended_receiver_warehouses,difficulty_group,difficulty_score
P0462,4,5,458,729,1998,2915,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.394349
P0601,4,5,475,753,1935,3074,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.530894
P0628,3,5,458,793,1856,3200,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.419507
P0830,12,5,544,811,2045,3310,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.518874
P0865,3,5,502,757,1999,3171,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.394636
P1038,3,5,378,696,1681,2646,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.280161
P1172,4,5,391,678,1499,2588,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.254531
P1193,12,5,456,798,1765,3064,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.498713
P1639,4,5,438,697,1669,2712,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.436624
P1917,4,5,435,772,1747,3033,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.458541
P1947,6,5,488,765,1797,2993,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.451037
P1961,4,5,475,762,1954,3115,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.389738
P1971,12,5,541,781,2178,3283,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.5403
P2086,3,5,523,745,2076,3024,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.411719
P2091,4,5,358,735,1387,2955,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.40398
P2093,4,5,409,695,1604,2678,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.391064
P2097,4,5,428,729,1665,2787,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.444994
P2108,4,5,434,699,1758,2902,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.400848
P0179,6,5,470,859,1833,3399,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.456902
P0183,6,5,483,949,1968,3780,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.624106
P0264,4,5,503,885,2178,3499,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.457063
P0296,4,5,520,945,2111,3768,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.464118
P0341,2,5,540,883,2226,3547,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.39122
P0416,6,5,426,853,1664,3151,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.494323
P0519,4,5,439,861,1762,3213,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.535096
P0652,4,5,453,798,2017,3182,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.36085
P0817,4,5,448,947,1718,3635,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.586565
P0825,4,5,455,865,1931,3432,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.501071
P0900,6,5,482,911,1972,3696,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.486004
P0905,4,5,515,867,2103,3381,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.422266
P0968,6,5,552,887,2254,3476,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.414622
P1168,6,5,563,943,2450,3837,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.449854
P1192,6,5,405,841,1646,3326,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.529181
P1254,12,5,477,867,1968,3342,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.448826
P1640,3,5,415,847,1804,3277,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.427129
P1866,4,5,443,921,1848,3560,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.502051
P1869,4,5,459,897,1832,3430,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.45587
P1924,12,5,514,994,2001,3741,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.583632
P2028,4,5,524,893,2233,3556,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.468079
P2044,6,5,546,917,2195,3662,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.501399
P2088,4,5,534,889,2070,3561,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.493555
P2094,4,5,414,851,1665,3316,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.509477
P2096,4,5,433,835,1764,3173,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.445111
