product_id,demand_pressure,flow_variability,warehouse_count,avg_inventory_floor,avg_inventory_ceiling,total_capacity,avg_capacity,pack_multiple,total_beginning_inventory,avg_overstock_cost,avg_shortage_cost,avg_backlog_cost,avg_penalty_cost,capacity_pressure,demand_pressure_norm,flow_variability_norm,capacity_pressure_norm,pack_multiple_norm,warehouse_count_norm,difficulty_score,difficulty_group
P1001,526,5.771121,5,52.02,154.04,582,58.2,4,369,0.1,0.5,1500.0,500.0,0.90378,0.347826,0.353259,0.55044,0.2,0.0,0.350273,G2_medium_low
P1109,479,5.860695,5,55.8,160.78,569,56.9,4,379,0.1,0.5,1500.0,500.0,0.841828,0.190635,0.377826,0.386971,0.2,0.0,0.26839,G2_medium_low
P1225,514,5.474974,5,55.52,159.0,603,60.3,3,365,0.1,0.5,1500.0,500.0,0.852405,0.307692,0.272037,0.414879,0.1,0.0,0.274037,G2_medium_low
P1235,554,6.09636,5,60.72,169.5,625,62.5,4,409,0.1,0.5,1500.0,500.0,0.8864,0.441472,0.44246,0.50458,0.2,0.0,0.389202,G2_medium_low
P1318,502,5.264186,5,64.5,178.52,585,58.5,6,442,0.1,0.5,1500.0,750.0,0.85812,0.267559,0.214226,0.429959,0.4,0.0,0.281314,G2_medium_low
P1598,514,5.386735,5,64.94,181.12,596,59.6,4,452,0.1,0.5,1500.0,500.0,0.862416,0.307692,0.247836,0.441296,0.2,0.0,0.284591,G2_medium_low
P1797,508,6.473382,5,64.8,180.04,575,57.5,3,460,0.1,0.5,1500.0,500.0,0.883478,0.287625,0.545863,0.496871,0.1,0.0,0.356971,G2_medium_low
P1808,469,5.399043,5,68.64,185.6,540,54.0,3,483,0.1,0.5,1500.0,500.0,0.868519,0.157191,0.251212,0.457398,0.1,0.0,0.23431,G1_low
P1968,482,5.026825,5,50.84,150.58,593,59.3,4,331,0.1,0.5,1500.0,500.0,0.812816,0.200669,0.149127,0.310421,0.2,0.0,0.195088,G1_low
P2113,473,5.049169,5,52.16,161.3,548,54.8,4,396,0.1,0.5,1500.0,500.0,0.863139,0.170569,0.155255,0.443202,0.2,0.0,0.220785,G1_low
P2156,532,5.924488,5,57.62,163.24,639,63.9,6,367,0.1,0.5,1500.0,750.0,0.832551,0.367893,0.395322,0.362493,0.4,0.0,0.339822,G2_medium_low
P2157,448,4.483086,5,58.98,164.18,534,53.4,6,395,0.1,0.5,1500.0,750.0,0.838951,0.086957,0.0,0.379381,0.4,0.0,0.160932,G1_low
P2159,512,5.820528,5,62.42,173.9,583,58.3,6,452,0.1,0.5,1500.0,750.0,0.878216,0.301003,0.36681,0.482986,0.4,0.0,0.34275,G2_medium_low
P2184,525,6.695975,5,61.72,176.74,624,62.4,3,446,0.1,0.5,1500.0,500.0,0.841346,0.344482,0.606912,0.3857,0.1,0.0,0.361497,G2_medium_low
P0118,618,6.924172,5,73.6,191.52,805,80.5,6,461,0.1,0.5,1500.0,750.0,0.767702,0.655518,0.669497,0.191381,0.4,0.0,0.451875,G3_medium_high
P0140,576,6.600677,5,76.74,201.66,736,73.6,6,504,0.1,0.5,1500.0,750.0,0.782609,0.51505,0.580775,0.230715,0.4,0.0,0.397387,G2_medium_low
P0155,626,5.992976,5,77.4,199.14,754,75.4,3,501,0.1,0.5,1500.0,500.0,0.830239,0.682274,0.414106,0.356392,0.1,0.0,0.407307,G2_medium_low
P0188,585,5.149544,5,56.9,167.28,689,68.9,4,387,0.1,0.5,1500.0,500.0,0.849057,0.545151,0.182784,0.406045,0.2,0.0,0.330752,G2_medium_low
P0231,580,6.067633,5,56.68,164.12,679,67.9,3,383,0.1,0.5,1500.0,500.0,0.854197,0.528428,0.434581,0.41961,0.1,0.0,0.382076,G2_medium_low
P0281,614,6.849115,5,70.04,184.22,753,75.3,12,435,0.1,0.5,1500.0,750.0,0.815405,0.64214,0.648912,0.317252,1.0,0.0,0.534183,G3_medium_high
P0404,557,5.794973,5,64.88,179.54,698,69.8,4,418,0.1,0.5,1500.0,500.0,0.797994,0.451505,0.359801,0.271311,0.2,0.0,0.31323,G2_medium_low
P0462,584,6.553111,5,67.34,187.28,729,72.9,4,458,0.1,0.5,1500.0,500.0,0.801097,0.541806,0.567729,0.279499,0.2,0.0,0.394349,G2_medium_low
P0601,631,7.501943,5,69.64,191.98,753,75.3,4,475,0.1,0.5,1500.0,500.0,0.837981,0.698997,0.827958,0.376822,0.2,0.0,0.530894,G3_medium_high
P0628,628,6.510214,5,71.98,188.82,793,79.3,3,458,0.1,0.5,1500.0,500.0,0.791929,0.688963,0.555964,0.255308,0.1,0.0,0.419507,G2_medium_low
P0830,649,6.259501,5,83.16,212.02,811,81.1,12,544,0.1,0.5,1500.0,750.0,0.800247,0.759197,0.487203,0.277254,1.0,0.0,0.518874,G3_medium_high
P0865,613,6.195291,5,78.34,203.44,757,75.7,3,502,0.1,0.5,1500.0,500.0,0.809775,0.638796,0.469593,0.302397,0.1,0.0,0.394636,G2_medium_low
P1038,546,5.749482,5,55.26,165.32,696,69.6,3,378,0.1,0.5,1500.0,500.0,0.784483,0.414716,0.347324,0.23566,0.1,0.0,0.280161,G2_medium_low
P1172,532,5.432997,5,58.98,168.98,678,67.8,4,391,0.1,0.5,1500.0,500.0,0.784661,0.367893,0.260525,0.236129,0.2,0.0,0.254531,G2_medium_low
P1193,613,6.800863,5,69.64,186.3,798,79.8,12,456,0.1,0.5,1500.0,750.0,0.76817,0.638796,0.635678,0.192618,1.0,0.0,0.498713,G3_medium_high
P1639,580,6.929575,5,64.72,177.96,697,69.7,4,438,0.1,0.5,1500.0,500.0,0.832138,0.528428,0.670979,0.361403,0.2,0.0,0.436624,G2_medium_low
P1917,606,7.322516,5,67.84,183.96,772,77.2,4,435,0.1,0.5,1500.0,500.0,0.784974,0.615385,0.778748,0.236956,0.2,0.0,0.458541,G3_medium_high
P1947,620,6.471345,5,72.46,192.54,765,76.5,6,488,0.1,0.5,1500.0,750.0,0.810458,0.662207,0.545304,0.304197,0.4,0.0,0.451037,G3_medium_high
P1961,606,6.219944,5,73.1,196.38,762,76.2,4,475,0.1,0.5,1500.0,500.0,0.795276,0.615385,0.476354,0.264138,0.2,0.0,0.389738,G2_medium_low
P1971,608,7.381283,5,85.56,213.24,781,78.1,12,541,0.1,0.5,1500.0,750.0,0.778489,0.622074,0.794866,0.219845,1.0,0.0,0.5403,G3_medium_high
P2086,591,6.92499,5,78.14,204.92,745,74.5,3,523,0.1,0.5,1500.0,500.0,0.793289,0.565217,0.669722,0.258895,0.1,0.0,0.411719,G2_medium_low
P2091,585,6.728775,5,56.8,162.14,735,73.5,4,358,0.1,0.5,1500.0,500.0,0.795918,0.545151,0.615907,0.265834,0.2,0.0,0.40398,G2_medium_low
P2093,581,6.213582,5,60.34,171.26,695,69.5,4,409,0.1,0.5,1500.0,500.0,0.835971,0.531773,0.474609,0.371518,0.2,0.0,0.391064,G2_medium_low
P2097,600,6.846459,5,61.8,175.44,729,72.9,4,428,0.1,0.5,1500.0,500.0,0.823045,0.595318,0.648184,0.337411,0.2,0.0,0.444994,G2_medium_low
P2108,568,6.771462,5,63.34,178.08,699,69.9,4,434,0.1,0.5,1500.0,500.0,0.812589,0.488294,0.627615,0.309822,0.2,0.0,0.400848,G2_medium_low
P0179,632,7.100132,5,76.9,197.3,859,85.9,6,470,0.1,0.5,1500.0,750.0,0.735739,0.702341,0.717756,0.107044,0.4,0.0,0.456902,G3_medium_high
P0183,716,8.129233,5,80.36,202.84,949,94.9,6,483,0.1,0.5,1500.0,750.0,0.754478,0.983278,1.0,0.156489,0.4,0.0,0.624106,G3_medium_high
P0264,667,6.709467,5,81.26,211.42,885,88.5,4,503,0.1,0.5,1500.0,500.0,0.753672,0.819398,0.610612,0.154363,0.2,0.0,0.457063,G3_medium_high
P0296,686,6.801275,5,83.54,213.4,945,94.5,4,520,0.1,0.5,1500.0,500.0,0.725926,0.882943,0.635791,0.08115,0.2,0.0,0.464118,G3_medium_high
P0341,621,7.198772,5,84.52,218.22,883,88.3,2,540,0.1,0.5,1500.0,500.0,0.703284,0.665552,0.74481,0.021408,0.0,0.0,0.39122,G2_medium_low
P0416,670,6.611438,5,64.28,179.9,853,85.3,6,426,0.1,0.5,1500.0,750.0,0.785463,0.829431,0.583726,0.238246,0.4,0.0,0.494323,G3_medium_high
P0519,665,7.69705,5,67.62,184.74,861,86.1,4,439,0.1,0.5,1500.0,500.0,0.772358,0.812709,0.881468,0.203666,0.2,0.0,0.535096,G3_medium_high
P0652,588,6.624203,5,66.52,190.58,798,79.8,4,453,0.1,0.5,1500.0,500.0,0.736842,0.555184,0.587227,0.109954,0.2,0.0,0.36085,G2_medium_low
P0817,721,7.734123,5,71.96,191.06,947,94.7,4,448,0.1,0.5,1500.0,500.0,0.761352,1.0,0.891636,0.174625,0.2,0.0,0.586565,G3_medium_high
P0825,656,7.46697,5,74.24,194.92,865,86.5,4,455,0.1,0.5,1500.0,500.0,0.758382,0.782609,0.818366,0.166788,0.2,0.0,0.501071,G3_medium_high
P0900,704,6.114632,5,79.9,206.5,911,91.1,6,482,0.1,0.5,1500.0,750.0,0.772777,0.943144,0.447471,0.204773,0.4,0.0,0.486004,G3_medium_high
P0905,638,6.7976,5,80.42,208.56,867,86.7,4,515,0.1,0.5,1500.0,500.0,0.735871,0.722408,0.634783,0.107391,0.2,0.0,0.422266,G2_medium_low
P0968,634,6.65598,5,84.72,217.78,887,88.7,6,552,0.1,0.5,1500.0,750.0,0.714769,0.70903,0.595942,0.051711,0.4,0.0,0.414622,G2_medium_low
P1168,669,6.70894,5,89.68,226.04,943,94.3,6,563,0.1,0.5,1500.0,750.0,0.709438,0.826087,0.610467,0.037645,0.4,0.0,0.449854,G2_medium_low
P1192,642,7.742058,5,65.24,179.06,841,84.1,6,405,0.1,0.5,1500.0,750.0,0.763377,0.735786,0.893813,0.179969,0.4,0.0,0.529181,G3_medium_high
P1254,612,6.687177,5,75.72,198.9,867,86.7,12,477,0.1,0.5,1500.0,750.0,0.705882,0.635452,0.604498,0.028263,1.0,0.0,0.448826,G2_medium_low
P1640,613,7.497,5,66.68,183.94,847,84.7,3,415,0.1,0.5,1500.0,500.0,0.723731,0.638796,0.826602,0.075358,0.1,0.0,0.427129,G2_medium_low
P1866,697,6.896643,5,70.96,190.62,921,92.1,4,443,0.1,0.5,1500.0,500.0,0.756786,0.919732,0.661947,0.162579,0.2,0.0,0.502051,G3_medium_high
P1869,651,7.194815,5,73.4,196.24,897,89.7,4,459,0.1,0.5,1500.0,500.0,0.725753,0.765886,0.743725,0.080693,0.2,0.0,0.45587,G3_medium_high
P1924,691,7.600284,5,85.7,212.04,994,99.4,12,514,0.1,0.5,1500.0,750.0,0.695171,0.899666,0.854929,0.0,1.0,0.0,0.583632,G3_medium_high
P2028,654,7.265383,5,81.08,210.72,893,89.3,4,524,0.1,0.5,1500.0,500.0,0.732363,0.77592,0.763079,0.098135,0.2,0.0,0.468079,G3_medium_high
P2044,646,7.845058,5,86.08,215.38,917,91.7,6,546,0.1,0.5,1500.0,750.0,0.704471,0.749164,0.922062,0.024539,0.4,0.0,0.501399,G3_medium_high
P2088,675,7.070676,5,87.5,216.04,889,88.9,4,534,0.1,0.5,1500.0,500.0,0.75928,0.846154,0.709678,0.169159,0.2,0.0,0.493555,G3_medium_high
P2094,680,6.847006,5,62.08,180.46,851,85.1,4,414,0.1,0.5,1500.0,500.0,0.79906,0.862876,0.648334,0.274123,0.2,0.0,0.509477,G3_medium_high
P2096,636,6.911785,5,66.8,186.14,835,83.5,4,433,0.1,0.5,1500.0,500.0,0.761677,0.715719,0.6661,0.175483,0.2,0.0,0.445111,G2_medium_low
