source_dataset,source_folder,original_product_id,new_product_id
D2,sample_100_fixed,P0905,D2_P0905
D2,sample_100_fixed,P0968,D2_P0968
D2,sample_100_fixed,P1168,D2_P1168
D2,sample_100_fixed,P1192,D2_P1192
D2,sample_100_fixed,P1254,D2_P1254
D2,sample_100_fixed,P1640,D2_P1640
D2,sample_100_fixed,P1866,D2_P1866
D2,sample_100_fixed,P1869,D2_P1869
D2,sample_100_fixed,P1924,D2_P1924
D2,sample_100_fixed,P2028,D2_P2028
D2,sample_100_fixed,P2044,D2_P2044
D2,sample_100_fixed,P2088,D2_P2088
D2,sample_100_fixed,P2094,D2_P2094
D2,sample_100_fixed,P2096,D2_P2096
D3,sample_100_fixed_old,P0095,D3_P0095
D3,sample_100_fixed_old,P0115,D3_P0115
D3,sample_100_fixed_old,P0222,D3_P0222
D3,sample_100_fixed_old,P0254,D3_P0254
D3,sample_100_fixed_old,P0302,D3_P0302
D3,sample_100_fixed_old,P0396,D3_P0396
D3,sample_100_fixed_old,P0694,D3_P0694
D3,sample_100_fixed_old,P0741,D3_P0741
D3,sample_100_fixed_old,P1055,D3_P1055
D3,sample_100_fixed_old,P1087,D3_P1087
D3,sample_100_fixed_old,P1296,D3_P1296
D3,sample_100_fixed_old,P1313,D3_P1313
D3,sample_100_fixed_old,P1390,D3_P1390
D3,sample_100_fixed_old,P1511,D3_P1511
D3,sample_100_fixed_old,P1521,D3_P1521
D3,sample_100_fixed_old,P1599,D3_P1599
D3,sample_100_fixed_old,P1969,D3_P1969
D3,sample_100_fixed_old,P1998,D3_P1998
D3,sample_100_fixed_old,P2002,D3_P2002
D3,sample_100_fixed_old,P2158,D3_P2158
D3,sample_100_fixed_old,P2189,D3_P2189
D3,sample_100_fixed_old,P2194,D3_P2194
D3,sample_100_fixed_old,P2195,D3_P2195
D3,sample_100_fixed_old,P2232,D3_P2232
D3,sample_100_fixed_old,P2237,D3_P2237
D3,sample_100_fixed_old,P0119,D3_P0119
D3,sample_100_fixed_old,P0120,D3_P0120
D3,sample_100_fixed_old,P0165,D3_P0165
D3,sample_100_fixed_old,P0178,D3_P0178
D3,sample_100_fixed_old,P0235,D3_P0235
D3,sample_100_fixed_old,P0289,D3_P0289
D3,sample_100_fixed_old,P0477,D3_P0477
D3,sample_100_fixed_old,P0549,D3_P0549
D3,sample_100_fixed_old,P0839,D3_P0839
D3,sample_100_fixed_old,P0852,D3_P0852
D3,sample_100_fixed_old,P0927,D3_P0927
D3,sample_100_fixed_old,P1001,D3_P1001
D3,sample_100_fixed_old,P1109,D3_P1109
D3,sample_100_fixed_old,P1225,D3_P1225
D3,sample_100_fixed_old,P1235,D3_P1235
D3,sample_100_fixed_old,P1318,D3_P1318
D3,sample_100_fixed_old,P1598,D3_P1598
D3,sample_100_fixed_old,P1797,D3_P1797
D3,sample_100_fixed_old,P1808,D3_P1808
D3,sample_100_fixed_old,P1968,D3_P1968
D3,sample_100_fixed_old,P2113,D3_P2113
D3,sample_100_fixed_old,P2156,D3_P2156
D3,sample_100_fixed_old,P2157,D3_P2157
D3,sample_100_fixed_old,P2159,D3_P2159
D3,sample_100_fixed_old,P2184,D3_P2184
D3,sample_100_fixed_old,P0118,D3_P0118
D3,sample_100_fixed_old,P0140,D3_P0140
D3,sample_100_fixed_old,P0155,D3_P0155
D3,sample_100_fixed_old,P0188,D3_P0188
D3,sample_100_fixed_old,P0231,D3_P0231
D3,sample_100_fixed_old,P0281,D3_P0281
D3,sample_100_fixed_old,P0404,D3_P0404
D3,sample_100_fixed_old,P0462,D3_P0462
D3,sample_100_fixed_old,P0601,D3_P0601
D3,sample_100_fixed_old,P0628,D3_P0628
D3,sample_100_fixed_old,P0830,D3_P0830
D3,sample_100_fixed_old,P0865,D3_P0865
D3,sample_100_fixed_old,P1038,D3_P1038
D3,sample_100_fixed_old,P1172,D3_P1172
D3,sample_100_fixed_old,P1193,D3_P1193
D3,sample_100_fixed_old,P1639,D3_P1639
D3,sample_100_fixed_old,P1917,D3_P1917
D3,sample_100_fixed_old,P1947,D3_P1947
D3,sample_100_fixed_old,P1961,D3_P1961
D3,sample_100_fixed_old,P1971,D3_P1971
D3,sample_100_fixed_old,P2086,D3_P2086
D3,sample_100_fixed_old,P2091,D3_P2091
D3,sample_100_fixed_old,P2093,D3_P2093
D3,sample_100_fixed_old,P2097,D3_P2097
D3,sample_100_fixed_old,P2108,D3_P2108
D3,sample_100_fixed_old,P0179,D3_P0179
D3,sample_100_fixed_old,P0183,D3_P0183
D3,sample_100_fixed_old,P0264,D3_P0264
D3,sample_100_fixed_old,P0296,D3_P0296
D3,sample_100_fixed_old,P0341,D3_P0341
D3,sample_100_fixed_old,P0416,D3_P0416
D3,sample_100_fixed_old,P0519,D3_P0519
D3,sample_100_fixed_old,P0652,D3_P0652
D3,sample_100_fixed_old,P0817,D3_P0817
D3,sample_100_fixed_old,P0825,D3_P0825
D3,sample_100_fixed_old,P0900,D3_P0900
D3,sample_100_fixed_old,P0905,D3_P0905
D3,sample_100_fixed_old,P0968,D3_P0968
D3,sample_100_fixed_old,P1168,D3_P1168
D3,sample_100_fixed_old,P1192,D3_P1192
D3,sample_100_fixed_old,P1254,D3_P1254
D3,sample_100_fixed_old,P1640,D3_P1640
D3,sample_100_fixed_old,P1866,D3_P1866
D3,sample_100_fixed_old,P1869,D3_P1869
D3,sample_100_fixed_old,P1924,D3_P1924
D3,sample_100_fixed_old,P2028,D3_P2028
D3,sample_100_fixed_old,P2044,D3_P2044
D3,sample_100_fixed_old,P2088,D3_P2088
D3,sample_100_fixed_old,P2094,D3_P2094
D3,sample_100_fixed_old,P2096,D3_P2096
