product_id,pack_multiple,warehouse_count,total_beginning_inventory,total_capacity,early_donor_surplus_no_plt,early_receiver_shortage_no_plt,recommended_source_warehouse,recommended_receiver_warehouses,difficulty_group,difficulty_score,source_dataset
D2_P0927,2,5,335,581,1283,2351,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.36492,D2
D2_P1001,4,5,369,582,1382,2383,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.350273,D2
D2_P1109,4,5,379,569,1460,2404,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.26839,D2
D2_P1225,3,5,365,603,1326,2455,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.274037,D2
D2_P1235,4,5,409,625,1663,2661,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.389202,D2
D2_P1318,6,5,442,585,1723,2535,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.281314,D2
D2_P1598,4,5,452,596,1793,2529,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.284591,D2
D2_P1797,3,5,460,575,1775,2401,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.356971,D2
D2_P1808,3,5,483,540,1870,2378,WH06,WH01;WH03;WH04;WH05,G1_low,0.23431,D2
D2_P1968,4,5,331,593,1292,2382,WH06,WH01;WH03;WH04;WH05,G1_low,0.195088,D2
D2_P2113,4,5,396,548,1653,2251,WH06,WH01;WH03;WH04;WH05,G1_low,0.220785,D2
D2_P2156,6,5,367,639,1429,2585,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.339822,D2
D2_P2157,6,5,395,534,1540,2294,WH06,WH01;WH03;WH04;WH05,G1_low,0.160932,D2
D2_P2159,6,5,452,583,1591,2264,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.34275,D2
D2_P2184,3,5,446,624,1749,2576,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.361497,D2
D2_P0118,6,5,461,805,1892,3312,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.451875,D2
D2_P0140,6,5,504,736,2088,3250,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.397387,D2
D2_P0155,3,5,501,754,1868,3087,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.407307,D2
D2_P0188,4,5,387,689,1637,2776,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.330752,D2
D2_P0231,3,5,383,679,1465,2634,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.382076,D2
D2_P0281,12,5,435,753,1735,3021,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.534183,D2
D2_P0404,4,5,418,698,1578,2770,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.31323,D2
D2_P0462,4,5,458,729,1998,2915,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.394349,D2
D2_P0601,4,5,475,753,1935,3074,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.530894,D2
D2_P0628,3,5,458,793,1856,3200,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.419507,D2
D2_P0830,12,5,544,811,2045,3310,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.518874,D2
D2_P0865,3,5,502,757,1999,3171,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.394636,D2
D2_P1038,3,5,378,696,1681,2646,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.280161,D2
D2_P1172,4,5,391,678,1499,2588,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.254531,D2
D2_P1193,12,5,456,798,1765,3064,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.498713,D2
D2_P1639,4,5,438,697,1669,2712,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.436624,D2
D2_P1917,4,5,435,772,1747,3033,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.458541,D2
D2_P1947,6,5,488,765,1797,2993,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.451037,D2
D2_P1961,4,5,475,762,1954,3115,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.389738,D2
D2_P1971,12,5,541,781,2178,3283,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.5403,D2
D2_P2086,3,5,523,745,2076,3024,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.411719,D2
D2_P2091,4,5,358,735,1387,2955,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.40398,D2
D2_P2093,4,5,409,695,1604,2678,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.391064,D2
D2_P2097,4,5,428,729,1665,2787,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.444994,D2
D2_P2108,4,5,434,699,1758,2902,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.400848,D2
D2_P0179,6,5,470,859,1833,3399,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.456902,D2
D2_P0183,6,5,483,949,1968,3780,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.624106,D2
D2_P0264,4,5,503,885,2178,3499,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.457063,D2
D2_P0296,4,5,520,945,2111,3768,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.464118,D2
D2_P0341,2,5,540,883,2226,3547,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.39122,D2
D2_P0416,6,5,426,853,1664,3151,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.494323,D2
D2_P0519,4,5,439,861,1762,3213,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.535096,D2
D2_P0652,4,5,453,798,2017,3182,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.36085,D2
D2_P0817,4,5,448,947,1718,3635,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.586565,D2
D2_P0825,4,5,455,865,1931,3432,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.501071,D2
D2_P0900,6,5,482,911,1972,3696,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.486004,D2
D2_P0905,4,5,515,867,2103,3381,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.422266,D2
D2_P0968,6,5,552,887,2254,3476,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.414622,D2
D2_P1168,6,5,563,943,2450,3837,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.449854,D2
D2_P1192,6,5,405,841,1646,3326,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.529181,D2
D2_P1254,12,5,477,867,1968,3342,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.448826,D2
D2_P1640,3,5,415,847,1804,3277,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.427129,D2
D2_P1866,4,5,443,921,1848,3560,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.502051,D2
D2_P1869,4,5,459,897,1832,3430,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.45587,D2
D2_P1924,12,5,514,994,2001,3741,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.583632,D2
D2_P2028,4,5,524,893,2233,3556,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.468079,D2
D2_P2044,6,5,546,917,2195,3662,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.501399,D2
D2_P2088,4,5,534,889,2070,3561,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.493555,D2
D2_P2094,4,5,414,851,1665,3316,WH06,WH01;WH03;WH04;WH05,G3_medium_high,0.509477,D2
D2_P2096,4,5,433,835,1764,3173,WH06,WH01;WH03;WH04;WH05,G2_medium_low,0.445111,D2
