week,warehouse,inv_begin,L,U,Q_OA_allocated,Q_OA_received,PLT_in,PLT_out,delta_I,inventory_end,surplus_E,backorder,shortage,overstock,PLT_detail
7,WH01,-10.0,0,42,0.0,0,0,0.0,-6,-16.0,0.0,16.0,16.0,0.0,
7,WH02,3.0,0,42,0.0,0,0,0.0,-5,-2.0,0.0,2.0,2.0,0.0,
7,WH03,-22.0,0,52,7.0,0,0,0.0,-4,-26.0,0.0,26.0,26.0,0.0,
7,WH04,-12.0,11,65,0.0,0,0,0.0,-2,-14.0,0.0,14.0,25.0,0.0,
7,WH05,-1.0,21,78,90.0,0,0,0.0,-16,-17.0,0.0,17.0,38.0,0.0,
7,WH06,-7.0,102,160,0.0,0,0,0.0,-6,-13.0,0.0,13.0,115.0,0.0,
8,WH01,-16.0,0,42,70.0,0,0,0.0,-8,-24.0,0.0,24.0,24.0,0.0,
8,WH02,-2.0,0,42,0.0,0,0,0.0,-5,-7.0,0.0,7.0,7.0,0.0,
8,WH03,-26.0,0,52,0.0,0,0,0.0,-5,-31.0,0.0,31.0,31.0,0.0,
8,WH04,-14.0,11,65,0.0,0,0,0.0,3,-11.0,0.0,11.0,22.0,0.0,
8,WH05,-17.0,21,78,1.0,0,0,0.0,-4,-21.0,0.0,21.0,42.0,0.0,
8,WH06,-13.0,102,160,0.0,0,0,0.0,-4,-17.0,0.0,17.0,119.0,0.0,
9,WH01,-24.0,0,42,0.0,30.0,0,0.0,-7,-1.0,0.0,1.0,1.0,0.0,
9,WH02,-7.0,0,42,80.0,10.0,0,0.0,-5,-2.0,0.0,2.0,2.0,0.0,
9,WH03,-31.0,0,52,1.0,30.0,0,0.0,-5,-6.0,0.0,6.0,6.0,0.0,
9,WH04,-11.0,11,65,0.0,10.0,0,0.0,-3,-4.0,0.0,4.0,15.0,0.0,
9,WH05,-21.0,21,78,0.0,28.0,0,0.0,-7,0.0,0.0,0.0,21.0,0.0,
9,WH06,-17.0,102,160,0.0,0.0,0,0.0,10,-7.0,0.0,7.0,109.0,0.0,
10,WH01,-1.0,0,42,90.0,10.0,0,3.0,-6,0.0,3.0,0.0,0.0,0.0,WH03: 3.0
10,WH02,-2.0,0,42,8.0,8.0,0,0.0,-6,0.0,0.0,0.0,0.0,0.0,
10,WH03,-6.0,0,52,0.0,20.0,0,7.0,-7,0.0,7.0,0.0,0.0,0.0,WH04: 7.0
10,WH04,-4.0,11,65,0.0,30.0,0,0.0,-26,0.0,0.0,0.0,11.0,0.0,
10,WH05,0.0,21,78,0.0,20.0,0,0.0,-7,13.0,0.0,0.0,8.0,0.0,
10,WH06,-7.0,102,160,0.0,30.0,0,0.0,2,25.0,0.0,0.0,77.0,0.0,
