product_id,demand_pressure,flow_variability,warehouse_count,avg_inventory_floor,avg_inventory_ceiling,total_capacity,avg_capacity,pack_multiple,total_beginning_inventory,avg_overstock_cost,avg_shortage_cost,avg_backlog_cost,avg_penalty_cost,capacity_pressure,demand_pressure_norm,flow_variability_norm,capacity_pressure_norm,pack_multiple_norm,warehouse_count_norm,difficulty_score,difficulty_group,early_donor_surplus_no_plt,early_receiver_shortage_no_plt,expected_plt_case,recommended_source_warehouse,recommended_receiver_warehouses,complex_rule,source_dataset,is_complex_transfer_case
D2_P1521,491,6.064155,5,57.0,166.68,464,46.4,4,448,0.1,0.5,1500.0,500.0,1.05819,0.230769,0.433627,0.957867,0.2,0.0,0.437104,G2_medium_low,1595.0,1929.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1599,478,5.595168,5,59.16,163.12,445,44.5,4,428,0.1,0.5,1500.0,500.0,1.074157,0.187291,0.305002,1.0,0.2,0.0,0.402438,G2_medium_low,1404.0,2101.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1969,473,5.185724,5,61.5,172.64,516,51.6,4,440,0.1,0.5,1500.0,500.0,0.916667,0.170569,0.192707,0.584442,0.2,0.0,0.265458,G2_medium_low,1636.0,2279.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1998,451,5.419357,5,46.2,139.38,479,47.9,6,327,0.1,0.5,1500.0,750.0,0.941545,0.09699,0.256783,0.650086,0.4,0.0,0.295814,G2_medium_low,1069.0,1892.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2002,434,4.836419,5,46.04,140.08,454,45.4,4,331,0.1,0.5,1500.0,500.0,0.955947,0.040134,0.096906,0.688089,0.2,0.0,0.228289,G1_low,1151.0,1802.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2158,466,5.343062,5,49.08,149.0,504,50.4,6,349,0.1,0.5,1500.0,750.0,0.924603,0.147157,0.235859,0.605384,0.4,0.0,0.294458,G2_medium_low,1368.0,2177.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2189,469,5.780162,5,49.04,151.2,460,46.0,4,377,0.1,0.5,1500.0,500.0,1.019565,0.157191,0.355739,0.855952,0.2,0.0,0.37008,G2_medium_low,1290.0,1895.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2194,459,4.634021,5,53.24,155.32,491,49.1,4,390,0.1,0.5,1500.0,500.0,0.934827,0.123746,0.041396,0.63236,0.2,0.0,0.225563,G1_low,1392.0,1954.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2195,458,5.866267,5,52.64,158.22,496,49.6,2,411,0.1,0.5,1500.0,500.0,0.923387,0.120401,0.379354,0.602175,0.0,0.0,0.281503,G2_medium_low,1601.0,2015.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2232,422,5.244759,5,56.74,163.84,472,47.2,4,422,0.1,0.5,1500.0,500.0,0.894068,0.0,0.208898,0.524813,0.2,0.0,0.203428,G1_low,1560.0,2025.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2237,483,5.001109,5,56.66,163.46,516,51.6,2,422,0.1,0.5,1500.0,500.0,0.936047,0.204013,0.142074,0.635578,0.0,0.0,0.255617,G2_medium_low,1541.0,2162.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0119,486,5.654904,5,69.04,183.78,592,59.2,3,469,0.1,0.5,1500.0,500.0,0.820946,0.214047,0.321385,0.331872,0.1,0.0,0.237528,G1_low,1884.0,2587.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0120,477,5.556418,5,49.56,155.84,552,55.2,3,364,0.1,0.5,1500.0,500.0,0.86413,0.183946,0.294374,0.445819,0.1,0.0,0.250232,G2_medium_low,1462.0,2241.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0165,494,6.238948,5,52.5,157.02,587,58.7,3,368,0.1,0.5,1500.0,500.0,0.841567,0.240803,0.481566,0.386284,0.1,0.0,0.299203,G2_medium_low,1463.0,2320.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0178,534,6.314352,5,55.3,155.8,593,59.3,3,374,0.1,0.5,1500.0,500.0,0.900506,0.374582,0.502247,0.5418,0.1,0.0,0.383386,G2_medium_low,1384.0,2393.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0235,530,6.488543,5,55.84,164.8,615,61.5,3,402,0.1,0.5,1500.0,500.0,0.861789,0.361204,0.550021,0.43964,0.1,0.0,0.365776,G2_medium_low,1615.0,2563.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0289,504,5.69625,5,60.3,171.4,591,59.1,4,423,0.1,0.5,1500.0,500.0,0.852792,0.274247,0.332725,0.415901,0.2,0.0,0.289431,G2_medium_low,1673.0,2381.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0477,550,6.851917,5,61.64,173.34,624,62.4,4,429,0.1,0.5,1500.0,500.0,0.88141,0.428094,0.649681,0.491414,0.2,0.0,0.433702,G2_medium_low,1716.0,2632.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0549,504,6.054353,5,64.92,179.24,613,61.3,4,449,0.1,0.5,1500.0,500.0,0.822186,0.274247,0.430939,0.335144,0.2,0.0,0.293795,G2_medium_low,1782.0,2548.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0839,557,5.996865,5,66.54,178.98,667,66.7,4,445,0.1,0.5,1500.0,500.0,0.835082,0.451505,0.415172,0.369173,0.2,0.0,0.351538,G2_medium_low,1713.0,2713.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0852,524,5.531088,5,68.32,183.56,578,57.8,4,463,0.1,0.5,1500.0,500.0,0.906574,0.341137,0.287427,0.557813,0.2,0.0,0.333651,G2_medium_low,1625.0,2484.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0927,533,6.043129,5,48.44,148.54,581,58.1,2,335,0.1,0.5,1500.0,500.0,0.917384,0.371237,0.427861,0.586335,0.0,0.0,0.36492,G2_medium_low,1283.0,2351.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1001,526,5.771121,5,52.02,154.04,582,58.2,4,369,0.1,0.5,1500.0,500.0,0.90378,0.347826,0.353259,0.55044,0.2,0.0,0.350273,G2_medium_low,1382.0,2383.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1109,479,5.860695,5,55.8,160.78,569,56.9,4,379,0.1,0.5,1500.0,500.0,0.841828,0.190635,0.377826,0.386971,0.2,0.0,0.26839,G2_medium_low,1460.0,2404.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1225,514,5.474974,5,55.52,159.0,603,60.3,3,365,0.1,0.5,1500.0,500.0,0.852405,0.307692,0.272037,0.414879,0.1,0.0,0.274037,G2_medium_low,1326.0,2455.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1235,554,6.09636,5,60.72,169.5,625,62.5,4,409,0.1,0.5,1500.0,500.0,0.8864,0.441472,0.44246,0.50458,0.2,0.0,0.389202,G2_medium_low,1663.0,2661.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1318,502,5.264186,5,64.5,178.52,585,58.5,6,442,0.1,0.5,1500.0,750.0,0.85812,0.267559,0.214226,0.429959,0.4,0.0,0.281314,G2_medium_low,1723.0,2535.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1598,514,5.386735,5,64.94,181.12,596,59.6,4,452,0.1,0.5,1500.0,500.0,0.862416,0.307692,0.247836,0.441296,0.2,0.0,0.284591,G2_medium_low,1793.0,2529.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1797,508,6.473382,5,64.8,180.04,575,57.5,3,460,0.1,0.5,1500.0,500.0,0.883478,0.287625,0.545863,0.496871,0.1,0.0,0.356971,G2_medium_low,1775.0,2401.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1808,469,5.399043,5,68.64,185.6,540,54.0,3,483,0.1,0.5,1500.0,500.0,0.868519,0.157191,0.251212,0.457398,0.1,0.0,0.23431,G1_low,1870.0,2378.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1968,482,5.026825,5,50.84,150.58,593,59.3,4,331,0.1,0.5,1500.0,500.0,0.812816,0.200669,0.149127,0.310421,0.2,0.0,0.195088,G1_low,1292.0,2382.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2113,473,5.049169,5,52.16,161.3,548,54.8,4,396,0.1,0.5,1500.0,500.0,0.863139,0.170569,0.155255,0.443202,0.2,0.0,0.220785,G1_low,1653.0,2251.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2156,532,5.924488,5,57.62,163.24,639,63.9,6,367,0.1,0.5,1500.0,750.0,0.832551,0.367893,0.395322,0.362493,0.4,0.0,0.339822,G2_medium_low,1429.0,2585.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2157,448,4.483086,5,58.98,164.18,534,53.4,6,395,0.1,0.5,1500.0,750.0,0.838951,0.086957,0.0,0.379381,0.4,0.0,0.160932,G1_low,1540.0,2294.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2159,512,5.820528,5,62.42,173.9,583,58.3,6,452,0.1,0.5,1500.0,750.0,0.878216,0.301003,0.36681,0.482986,0.4,0.0,0.34275,G2_medium_low,1591.0,2264.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2184,525,6.695975,5,61.72,176.74,624,62.4,3,446,0.1,0.5,1500.0,500.0,0.841346,0.344482,0.606912,0.3857,0.1,0.0,0.361497,G2_medium_low,1749.0,2576.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0118,618,6.924172,5,73.6,191.52,805,80.5,6,461,0.1,0.5,1500.0,750.0,0.767702,0.655518,0.669497,0.191381,0.4,0.0,0.451875,G3_medium_high,1892.0,3312.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0140,576,6.600677,5,76.74,201.66,736,73.6,6,504,0.1,0.5,1500.0,750.0,0.782609,0.51505,0.580775,0.230715,0.4,0.0,0.397387,G2_medium_low,2088.0,3250.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0155,626,5.992976,5,77.4,199.14,754,75.4,3,501,0.1,0.5,1500.0,500.0,0.830239,0.682274,0.414106,0.356392,0.1,0.0,0.407307,G2_medium_low,1868.0,3087.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0188,585,5.149544,5,56.9,167.28,689,68.9,4,387,0.1,0.5,1500.0,500.0,0.849057,0.545151,0.182784,0.406045,0.2,0.0,0.330752,G2_medium_low,1637.0,2776.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0231,580,6.067633,5,56.68,164.12,679,67.9,3,383,0.1,0.5,1500.0,500.0,0.854197,0.528428,0.434581,0.41961,0.1,0.0,0.382076,G2_medium_low,1465.0,2634.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0281,614,6.849115,5,70.04,184.22,753,75.3,12,435,0.1,0.5,1500.0,750.0,0.815405,0.64214,0.648912,0.317252,1.0,0.0,0.534183,G3_medium_high,1735.0,3021.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0404,557,5.794973,5,64.88,179.54,698,69.8,4,418,0.1,0.5,1500.0,500.0,0.797994,0.451505,0.359801,0.271311,0.2,0.0,0.31323,G2_medium_low,1578.0,2770.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0462,584,6.553111,5,67.34,187.28,729,72.9,4,458,0.1,0.5,1500.0,500.0,0.801097,0.541806,0.567729,0.279499,0.2,0.0,0.394349,G2_medium_low,1998.0,2915.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0601,631,7.501943,5,69.64,191.98,753,75.3,4,475,0.1,0.5,1500.0,500.0,0.837981,0.698997,0.827958,0.376822,0.2,0.0,0.530894,G3_medium_high,1935.0,3074.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0628,628,6.510214,5,71.98,188.82,793,79.3,3,458,0.1,0.5,1500.0,500.0,0.791929,0.688963,0.555964,0.255308,0.1,0.0,0.419507,G2_medium_low,1856.0,3200.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0830,649,6.259501,5,83.16,212.02,811,81.1,12,544,0.1,0.5,1500.0,750.0,0.800247,0.759197,0.487203,0.277254,1.0,0.0,0.518874,G3_medium_high,2045.0,3310.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P0865,613,6.195291,5,78.34,203.44,757,75.7,3,502,0.1,0.5,1500.0,500.0,0.809775,0.638796,0.469593,0.302397,0.1,0.0,0.394636,G2_medium_low,1999.0,3171.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1038,546,5.749482,5,55.26,165.32,696,69.6,3,378,0.1,0.5,1500.0,500.0,0.784483,0.414716,0.347324,0.23566,0.1,0.0,0.280161,G2_medium_low,1681.0,2646.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1172,532,5.432997,5,58.98,168.98,678,67.8,4,391,0.1,0.5,1500.0,500.0,0.784661,0.367893,0.260525,0.236129,0.2,0.0,0.254531,G2_medium_low,1499.0,2588.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1193,613,6.800863,5,69.64,186.3,798,79.8,12,456,0.1,0.5,1500.0,750.0,0.76817,0.638796,0.635678,0.192618,1.0,0.0,0.498713,G3_medium_high,1765.0,3064.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1639,580,6.929575,5,64.72,177.96,697,69.7,4,438,0.1,0.5,1500.0,500.0,0.832138,0.528428,0.670979,0.361403,0.2,0.0,0.436624,G2_medium_low,1669.0,2712.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1917,606,7.322516,5,67.84,183.96,772,77.2,4,435,0.1,0.5,1500.0,500.0,0.784974,0.615385,0.778748,0.236956,0.2,0.0,0.458541,G3_medium_high,1747.0,3033.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1947,620,6.471345,5,72.46,192.54,765,76.5,6,488,0.1,0.5,1500.0,750.0,0.810458,0.662207,0.545304,0.304197,0.4,0.0,0.451037,G3_medium_high,1797.0,2993.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1961,606,6.219944,5,73.1,196.38,762,76.2,4,475,0.1,0.5,1500.0,500.0,0.795276,0.615385,0.476354,0.264138,0.2,0.0,0.389738,G2_medium_low,1954.0,3115.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P1971,608,7.381283,5,85.56,213.24,781,78.1,12,541,0.1,0.5,1500.0,750.0,0.778489,0.622074,0.794866,0.219845,1.0,0.0,0.5403,G3_medium_high,2178.0,3283.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2086,591,6.92499,5,78.14,204.92,745,74.5,3,523,0.1,0.5,1500.0,500.0,0.793289,0.565217,0.669722,0.258895,0.1,0.0,0.411719,G2_medium_low,2076.0,3024.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2091,585,6.728775,5,56.8,162.14,735,73.5,4,358,0.1,0.5,1500.0,500.0,0.795918,0.545151,0.615907,0.265834,0.2,0.0,0.40398,G2_medium_low,1387.0,2955.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2093,581,6.213582,5,60.34,171.26,695,69.5,4,409,0.1,0.5,1500.0,500.0,0.835971,0.531773,0.474609,0.371518,0.2,0.0,0.391064,G2_medium_low,1604.0,2678.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2097,600,6.846459,5,61.8,175.44,729,72.9,4,428,0.1,0.5,1500.0,500.0,0.823045,0.595318,0.648184,0.337411,0.2,0.0,0.444994,G2_medium_low,1665.0,2787.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
D2_P2108,568,6.771462,5,63.34,178.08,699,69.9,4,434,0.1,0.5,1500.0,500.0,0.812589,0.488294,0.627615,0.309822,0.2,0.0,0.400848,G2_medium_low,1758.0,2902.0,True,WH06,WH01;WH03;WH04;WH05,PLT-rich if early_receiver_shortage_no_plt > 0 and early_donor_surplus_no_plt > 0 before OA arrival,D2,
