product_id, item_class, product_series, product_style, product_size, created_at         , updated_at         , product_name
P0027     , CLS-A     , SER-008       , STY-005      , SZ-005      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0027
P0028     , CLS-A     , SER-008       , STY-005      , SZ-014      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0028
P0029     , CLS-A     , SER-008       , STY-005      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0029
P0030     , CLS-A     , SER-008       , STY-005      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0030
P0031     , CLS-A     , SER-009       , STY-006      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0031
P0032     , CLS-A     , SER-009       , STY-006      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0032
P0033     , CLS-A     , SER-009       , STY-006      , SZ-023      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0033
P0034     , CLS-A     , SER-009       , STY-006      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0034
P0035     , CLS-A     , SER-009       , STY-006      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0035
P0036     , CLS-A     , SER-009       , STY-006      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0036
P0037     , CLS-A     , SER-009       , STY-006      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0037
P0038     , CLS-A     , SER-009       , STY-006      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0038
P0039     , CLS-A     , SER-009       , STY-006      , SZ-023      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0039
P0040     , CLS-A     , SER-009       , STY-006      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0040
P0041     , CLS-A     , SER-009       , STY-006      , SZ-040      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0041
P0042     , CLS-A     , SER-009       , STY-006      , SZ-041      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0042
P0043     , CLS-A     , SER-009       , STY-006      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0043
P0044     , CLS-A     , SER-010       , STY-007      , SZ-034      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0044
P0045     , CLS-A     , SER-010       , STY-007      , SZ-035      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0045
P0046     , CLS-A     , SER-011       , STY-008      , SZ-043      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0046
P0047     , CLS-A     , SER-011       , STY-008      , SZ-044      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0047
P0048     , CLS-A     , SER-011       , STY-008      , SZ-048      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0048
P0049     , CLS-A     , SER-011       , STY-008      , SZ-059      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0049
P0050     , CLS-A     , SER-011       , STY-008      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0050
P0051     , CLS-A     , SER-012       , STY-009      , SZ-005      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0051
P0052     , CLS-A     , SER-012       , STY-009      , SZ-014      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0052
P0053     , CLS-A     , SER-012       , STY-009      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0053
P0054     , CLS-A     , SER-012       , STY-009      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0054
P0055     , CLS-A     , SER-012       , STY-009      , SZ-005      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0055
P0056     , CLS-A     , SER-012       , STY-009      , SZ-014      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0056
P0057     , CLS-A     , SER-012       , STY-009      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0057
P0058     , CLS-A     , SER-012       , STY-009      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0058
P0059     , CLS-A     , SER-013       , STY-010      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0059
P0060     , CLS-A     , SER-013       , STY-010      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0060
P0061     , CLS-A     , SER-014       , STY-011      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0061
P0062     , CLS-A     , SER-014       , STY-011      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0062
P0063     , CLS-A     , SER-014       , STY-011      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0063
P0064     , CLS-A     , SER-014       , STY-011      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0064
P0065     , CLS-A     , SER-014       , STY-011      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0065
P0066     , CLS-A     , SER-014       , STY-011      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0066
P0067     , CLS-A     , SER-014       , STY-011      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0067
P0068     , CLS-A     , SER-014       , STY-011      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0068
P0069     , CLS-A     , SER-015       , STY-012      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0069
P0070     , CLS-A     , SER-015       , STY-012      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0070
P0071     , CLS-A     , SER-016       , STY-013      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0071
P0072     , CLS-A     , SER-017       , STY-013      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0072
P0073     , CLS-A     , SER-016       , STY-013      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0073
P0074     , CLS-A     , SER-018       , STY-014      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0074
P0075     , CLS-A     , SER-018       , STY-014      , SZ-023      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0075
P0076     , CLS-A     , SER-018       , STY-014      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0076
P0077     , CLS-A     , SER-019       , STY-015      , SZ-020      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0077
P0078     , CLS-A     , SER-019       , STY-015      , SZ-003      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0078
P0079     , CLS-A     , SER-019       , STY-015      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0079
P0080     , CLS-A     , SER-019       , STY-015      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0080
P0081     , CLS-A     , SER-019       , STY-015      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0081
P0082     , CLS-A     , SER-019       , STY-015      , SZ-011      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0082
P0083     , CLS-A     , SER-019       , STY-015      , SZ-020      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0083
P0084     , CLS-A     , SER-019       , STY-015      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0084
P0085     , CLS-A     , SER-019       , STY-015      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0085
P0086     , CLS-A     , SER-020       , STY-016      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0086
P0087     , CLS-A     , SER-020       , STY-016      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0087
P0088     , CLS-A     , SER-020       , STY-016      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0088
P0089     , CLS-A     , SER-020       , STY-016      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0089
P0090     , CLS-A     , SER-020       , STY-016      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0090
P0091     , CLS-A     , SER-020       , STY-016      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0091
P0092     , CLS-A     , SER-020       , STY-016      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0092
P0093     , CLS-A     , SER-020       , STY-016      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0093
P0094     , CLS-A     , SER-020       , STY-016      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0094
P0095     , CLS-A     , SER-020       , STY-016      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0095
P0096     , CLS-A     , SER-022       , STY-017      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0096
P0097     , CLS-A     , SER-022       , STY-017      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0097
P0098     , CLS-A     , SER-022       , STY-017      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0098
P0099     , CLS-A     , SER-021       , STY-017      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0099
P0100     , CLS-A     , SER-021       , STY-017      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0100
P0101     , CLS-A     , SER-021       , STY-017      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0101
P0102     , CLS-A     , SER-021       , STY-017      , SZ-028      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0102
P0103     , CLS-A     , SER-022       , STY-017      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0103
P0104     , CLS-A     , SER-022       , STY-017      , SZ-053      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0104
P0105     , CLS-A     , SER-024       , STY-017      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0105
P0106     , CLS-A     , SER-024       , STY-017      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0106
P0107     , CLS-A     , SER-024       , STY-017      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0107
P0108     , CLS-A     , SER-023       , STY-017      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0108
P0109     , CLS-A     , SER-023       , STY-017      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0109
P0110     , CLS-A     , SER-023       , STY-017      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0110
P0111     , CLS-A     , SER-023       , STY-017      , SZ-028      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0111
P0112     , CLS-A     , SER-024       , STY-017      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0112
P0113     , CLS-A     , SER-024       , STY-017      , SZ-053      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0113
P0114     , CLS-A     , SER-021       , STY-017      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0114
P0115     , CLS-A     , SER-023       , STY-017      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0115
P0116     , CLS-A     , SER-021       , STY-017      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0116
P0117     , CLS-A     , SER-023       , STY-017      , SZ-016      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0117
P0118     , CLS-A     , SER-025       , STY-018      , SZ-005      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0118
P0119     , CLS-A     , SER-025       , STY-018      , SZ-054      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0119
P0120     , CLS-A     , SER-025       , STY-018      , SZ-009      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0120
P0121     , CLS-A     , SER-025       , STY-018      , SZ-012      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0121
P0122     , CLS-A     , SER-026       , STY-019      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0122
P0123     , CLS-A     , SER-026       , STY-019      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0123
P0124     , CLS-A     , SER-026       , STY-019      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0124
P0125     , CLS-A     , SER-026       , STY-019      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0125
P0126     , CLS-A     , SER-026       , STY-019      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0126
P0127     , CLS-A     , SER-026       , STY-019      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0127
P0128     , CLS-A     , SER-027       , STY-020      , SZ-005      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0128
P0129     , CLS-A     , SER-027       , STY-020      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0129
P0130     , CLS-A     , SER-027       , STY-020      , SZ-014      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0130
P0131     , CLS-A     , SER-027       , STY-020      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0131
P0132     , CLS-A     , SER-027       , STY-020      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0132
P0133     , CLS-A     , SER-028       , STY-021      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0133
P0134     , CLS-A     , SER-028       , STY-021      , SZ-023      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0134
P0135     , CLS-A     , SER-028       , STY-021      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0135
P0136     , CLS-A     , SER-029       , STY-022      , SZ-005      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0136
P0137     , CLS-A     , SER-029       , STY-022      , SZ-014      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0137
P0138     , CLS-A     , SER-029       , STY-022      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0138
P0139     , CLS-A     , SER-029       , STY-022      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0139
P0140     , CLS-A     , SER-030       , STY-023      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0140
P0141     , CLS-A     , SER-030       , STY-023      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0141
P0142     , CLS-A     , SER-030       , STY-023      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0142
P0143     , CLS-A     , SER-030       , STY-023      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0143
P0144     , CLS-A     , SER-030       , STY-023      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0144
P0145     , CLS-A     , SER-030       , STY-023      , SZ-053      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0145
P0146     , CLS-A     , SER-030       , STY-023      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0146
P0147     , CLS-A     , SER-030       , STY-023      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0147
P0148     , CLS-A     , SER-030       , STY-023      , SZ-052      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0148
P0149     , CLS-A     , SER-030       , STY-023      , SZ-053      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0149
P0150     , CLS-A     , SER-030       , STY-023      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0150
P0151     , CLS-A     , SER-031       , STY-024      , SZ-003      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0151
P0152     , CLS-A     , SER-031       , STY-024      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0152
P0153     , CLS-A     , SER-031       , STY-024      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0153
P0154     , CLS-A     , SER-031       , STY-024      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0154
P0155     , CLS-A     , SER-031       , STY-024      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0155
P0156     , CLS-A     , SER-031       , STY-024      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0156
P0157     , CLS-A     , SER-031       , STY-024      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0157
P0158     , CLS-A     , SER-032       , STY-025      , SZ-011      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0158
P0159     , CLS-A     , SER-032       , STY-025      , SZ-020      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0159
P0160     , CLS-A     , SER-032       , STY-025      , SZ-003      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0160
P0161     , CLS-A     , SER-032       , STY-025      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0161
P0162     , CLS-A     , SER-032       , STY-025      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0162
P0163     , CLS-A     , SER-032       , STY-025      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0163
P0164     , CLS-A     , SER-032       , STY-025      , SZ-011      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0164
P0165     , CLS-A     , SER-032       , STY-025      , SZ-020      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0165
P0166     , CLS-A     , SER-032       , STY-025      , SZ-003      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0166
P0167     , CLS-A     , SER-032       , STY-025      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0167
P0168     , CLS-A     , SER-032       , STY-025      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0168
P0169     , CLS-A     , SER-033       , STY-026      , SZ-011      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0169
P0170     , CLS-A     , SER-033       , STY-026      , SZ-020      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0170
P0171     , CLS-A     , SER-033       , STY-026      , SZ-003      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0171
P0172     , CLS-A     , SER-033       , STY-026      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0172
P0173     , CLS-A     , SER-033       , STY-026      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0173
P0174     , CLS-A     , SER-033       , STY-026      , SZ-011      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0174
P0175     , CLS-A     , SER-033       , STY-026      , SZ-020      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0175
P0176     , CLS-A     , SER-033       , STY-026      , SZ-003      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0176
P0177     , CLS-A     , SER-033       , STY-026      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0177
P0178     , CLS-A     , SER-033       , STY-026      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0178
P0179     , CLS-A     , SER-034       , STY-027      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0179
P0180     , CLS-A     , SER-034       , STY-027      , SZ-006      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0180
P0181     , CLS-A     , SER-034       , STY-027      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0181
P0182     , CLS-A     , SER-034       , STY-027      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0182
P0183     , CLS-A     , SER-035       , STY-027      , SZ-065      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0183
P0184     , CLS-A     , SER-035       , STY-027      , SZ-006      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0184
P0185     , CLS-A     , SER-034       , STY-027      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0185
P0186     , CLS-A     , SER-034       , STY-027      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0186
P0187     , CLS-A     , SER-034       , STY-027      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0187
P0188     , CLS-A     , SER-034       , STY-027      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0188
P0189     , CLS-A     , SER-034       , STY-027      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0189
P0190     , CLS-A     , SER-034       , STY-027      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0190
P0191     , CLS-A     , SER-034       , STY-027      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0191
P0192     , CLS-A     , SER-035       , STY-027      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0192
P0193     , CLS-A     , SER-035       , STY-027      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0193
P0194     , CLS-A     , SER-035       , STY-027      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0194
P0195     , CLS-A     , SER-035       , STY-027      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0195
P0196     , CLS-A     , SER-035       , STY-027      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0196
P0197     , CLS-A     , SER-035       , STY-027      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0197
P0198     , CLS-A     , SER-035       , STY-027      , SZ-062      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0198
P0199     , CLS-A     , SER-034       , STY-027      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0199
P0200     , CLS-A     , SER-034       , STY-027      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0200
P0201     , CLS-A     , SER-034       , STY-027      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0201
P0202     , CLS-A     , SER-035       , STY-027      , SZ-007      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0202
P0203     , CLS-A     , SER-035       , STY-027      , SZ-008      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0203
P0204     , CLS-A     , SER-035       , STY-027      , SZ-013      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0204
P0205     , CLS-A     , SER-035       , STY-027      , SZ-032      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0205
P0206     , CLS-A     , SER-035       , STY-027      , SZ-050      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0206
P0207     , CLS-A     , SER-035       , STY-027      , SZ-051      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0207
P0208     , CLS-A     , SER-036       , STY-028      , SZ-006      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0208
P0209     , CLS-A     , SER-036       , STY-028      , SZ-024      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0209
P0210     , CLS-A     , SER-036       , STY-028      , SZ-027      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0210
P0211     , CLS-A     , SER-037       , STY-029      , SZ-075      , 2024-01-01 00:00:00, 2024-01-01 00:00:00, Product-P0211
